Item type,Color,Size,Material,Glasses Water saved,Hours Lightbulb saved,Miles driving saved,Company,price WITH code,OG price,link
Hoodie,Beige,M,Polyester,437.95,156.18,0.87,ThredUP,$11.69 ,$17.99 ,https://www.thredup.com/product/women-polyester-rbx-colored-pullover-hoodie/132078907?query_id=778078282159325184&result_id=778078285053386752&suggestion_id=778078282205462544
Hoodie,Pink,S,Polyester,437.95,156.18,0.87,ThredUP,$7.79 ,$11.99 ,https://www.thredup.com/product/women-polyester-banana-republic-colored-sweatshirt/139547970?query_id=778078282159325184&result_id=778078285053386752&suggestion_id=778078282205462544
Sweatshirt,Beige,M,Polyester,437.95,156.18,0.87,ThredUP,$11.69 ,$17.99 ,https://www.thredup.com/product/women-polyester-express-colored-pullover-hoodie/145509882?query_id=778078282159325184&result_id=778078285053386752&suggestion_id=778078282205462544
Sweatshirt,White,S,Cotton,437.95,156.18,0.87,ThredUP,$20.79 ,$31.99 ,https://www.thredup.com/product/women-cotton-afrm-colored-sweatshirt/145057650?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Sweatshirt,White,L,Cotton,437.95,156.18,0.87,ThredUP,$18.84 ,$28.99 ,https://www.thredup.com/product/women-polyester-tommy-hilfiger-white-zip-up-hoodie/144988060?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Sweatshirt,Brown,S,Cotton,437.95,156.18,0.87,ThredUP,$25.34 ,$38.99 ,https://www.thredup.com/product/women-cotton-nike-colored-pullover-hoodie/145088872?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Jacket,White,L,,437.95,156.18,0.87,ThredUP,$16.24 ,$24.99 ,https://www.thredup.com/product/women-aerie-colored-zip-up-hoodie/145296997?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Jacket,Purple,L,Cotton,437.95,156.18,0.87,ThredUP,$24.04 ,$36.99 ,https://www.thredup.com/product/women-cotton-columbia-colored-jacket/145415768?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Crop top,White,S,Viscose,437.95,156.18,0.87,ThredUP,$12.99 ,$19.99 ,https://www.thredup.com/product/women-viscose-zara-colored-pullover-hoodie/145012314?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Sweatshirt,White,S,Polyester,437.95,156.18,0.87,ThredUP,$20.79 ,$31.99 ,https://www.thredup.com/product/women-cotton-afrm-colored-sweatshirt/145057650?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Hoodie,White,S,Cotton,437.95,156.18,0.87,ThredUP,$11.69 ,$17.99 ,https://www.thredup.com/product/women-cotton-assorted-brands-white-pullover-hoodie/138208994?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Hoodie,Green,M,Cotton,437.95,156.18,0.87,ThredUP,$16.24 ,$24.99 ,https://www.thredup.com/product/women-cotton-adidas-colored-pullover-hoodie/145370060?query_id=778078282159325184&result_id=778079724655951872&suggestion_id=778078282205462544
Hoodie,Pink,L,Cotton,437.95,156.18,0.87,ThredUP,$25.34 ,$38.99 ,https://www.thredup.com/product/women-cotton-jjill-colored-pullover-hoodie/145337019?query_id=778078282159325184&result_id=778091902364631040&suggestion_id=778078282205462544
Jacket,Red,XL,Polyester,437.95,156.18,0.87,ThredUP,$29.24 ,$44.99 ,https://www.thredup.com/product/women-polyester-athleta-colored-zip-up-hoodie/145222397?query_id=778078282159325184&result_id=778091902364631040&suggestion_id=778078282205462544
Jacket,Blue,S,,437.95,156.18,0.87,ThredUP,$16.24 ,$24.99 ,https://www.thredup.com/product/women-fabletics-colored-zip-up-hoodie/143980714?query_id=778078282159325184&result_id=778091902364631040&suggestion_id=778078282205462544
Sweatshirt,Green,L,Cotton,437.95,156.18,0.87,ThredUP,$14.29 ,$21.99 ,https://www.thredup.com/product/women-cotton-american-eagle-outfitters-colored-sweatshirt/137493482?query_id=778092982016245764&result_id=778092982746054656
Crop top,Green,M,Cotton,437.95,156.18,0.87,ThredUP,$15.59 ,$23.99 ,https://www.thredup.com/product/women-cotton-assorted-brands-colored-pullover-hoodie/144955262?query_id=778092982016245764&result_id=778093417246588928
Hoodie,Brown,S,Cotton,437.95,156.18,0.87,ThredUP,$15.59 ,$23.99 ,https://www.thredup.com/product/women-cotton-lna-colored-pullover-hoodie/133373540?query_id=778092982016245764&result_id=778093417246588928
Jacket,White,L,Cotton,437.95,156.18,0.87,ThredUP,$20.14 ,$30.99 ,https://www.thredup.com/product/women-cotton-suzy-d-white-zip-up-hoodie/145000182?query_id=778092982016245764&result_id=778093417246588928
Hoodie,Brown,M,Cotton,437.95,156.18,0.87,ThredUP,$14.29 ,$21.99 ,https://www.thredup.com/product/women-cotton-rachel-zoe-colored-pullover-hoodie/130859451?query_id=778092982016245764&result_id=778094505500647424
Hoodie,Brown,XS,,437.95,156.18,0.87,ThredUP,$10.39 ,$15.99 ,https://www.thredup.com/product/women-assorted-brands-colored-pullover-hoodie/135591749?query_id=778092982016245764&result_id=778094505500647424
Crop top,Beige,L,,437.95,156.18,0.87,ThredUP,$12.99 ,$19.99 ,https://www.thredup.com/product/women-legends-colored-pullover-hoodie/131700497?query_id=778092982016245764&result_id=778094505500647424
Hoodie,Brown,S,Cotton,437.95,156.18,0.87,ThredUP,$11.04 ,$16.99 ,https://www.thredup.com/product/women-cotton-american-apparel-colored-pullover-hoodie/136696729?query_id=778092982016245764&result_id=778096054088073216
Sweatshirt,Beige,S,Cotton,437.95,156.18,0.87,ThredUP,$17.54 ,$26.99 ,https://www.thredup.com/product/women-cotton-we-the-free-colored-thermal-top/145160647?query_id=778092982016245764&result_id=778096054088073216
Hoodie,Brown,L,Polyester,437.95,156.18,0.87,ThredUP,$12.34 ,$18.99 ,https://www.thredup.com/product/women-polyester-all-in-motion-colored-pullover-hoodie/144983311?query_id=778092982016245764&result_id=778096054088073216
Sweatshirt,White,L,Modal,437.95,156.18,0.87,ThredUP,$32.49 ,$49.99 ,https://www.thredup.com/product/women-modal-rag-and-bone-colored-pullover-hoodie/145160027?query_id=778092982016245764&result_id=778096054088073216
Hoodie,White,S,Polyester,437.95,156.18,0.87,ThredUP,$20.79 ,$31.99 ,https://www.thredup.com/product/women-polyester-nike-white-pullover-hoodie/145067754?query_id=778092982016245764&result_id=778096054088073216
Hoodie,White,S,,437.95,156.18,0.87,ThredUP,$13.64 ,$20.99 ,https://www.thredup.com/product/women-zara-white-pullover-hoodie/145060316?query_id=778092982016245764&result_id=778096054088073216
Sweatshirt,Blue,M,,437.95,156.18,0.87,ThredUP,$13.64 ,$20.99 ,https://www.thredup.com/product/women-roma-concepts-by-rosee-colored-pullover-hoodie/145203048?query_id=778092982016245764&result_id=778096054088073216
Sweatshirt,Yellow,M,,437.95,156.18,0.87,ThredUP,$23.39 ,$35.99 ,https://www.thredup.com/product/women-moss-jang-colored-sweatshirt/145023808?query_id=778092982016245764&result_id=778096054088073216
Sweatshirt,Pink,M,Cotton,437.95,156.18,0.87,ThredUP,$16.24 ,$24.99 ,https://www.thredup.com/product/women-cotton-assorted-brands-colored-pullover-hoodie/143230230?query_id=778092982016245764&result_id=778096054088073216
